occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016020101,1,2,2,02,21,21,02 ,01,05,01,01,01,127.04526834,37.89904154
2016040104,1,2,1,01,15,05,05 ,01,05,03,12,12,127.06637019,37.97412681
2016042711,1,1,4,01,15,05,05 ,02,06,03,12,12,127.05886524,37.89253183
2016070309,1,1,1,02,22,22,03 ,02,06,02,05,05,127.0522938,37.89591393
2016072804,1,2,1,01,15,05,05 ,01,05,01,12,12,127.04327883,37.93200325
