tm,stnNm,sumRn
2020-01-01,颇林,0.1
2020-01-02,颇林,
2020-01-03,颇林,
2020-01-04,颇林,
2020-01-05,颇林,
2020-01-06,颇林,1.1
2020-01-07,颇林,63.7
2020-01-08,颇林,17.4
2020-01-09,颇林,
2020-01-10,颇林,
2020-01-11,颇林,
2020-01-12,颇林,
2020-01-13,颇林,
2020-01-14,颇林,
2020-01-15,颇林,
2020-01-16,颇林,
2020-01-17,颇林,
2020-01-18,颇林,
2020-01-19,颇林,0.0
2020-01-20,颇林,
2020-01-21,颇林,
2020-01-22,颇林,
2020-01-23,颇林,
2020-01-24,颇林,
2020-01-25,颇林,
2020-01-26,颇林,
2020-01-27,颇林,
2020-01-28,颇林,
2020-01-29,颇林,
2020-01-30,颇林,
2020-01-31,颇林,
2020-02-01,颇林,
2020-02-02,颇林,
2020-02-03,颇林,
2020-02-04,颇林,0.5
2020-02-05,颇林,
2020-02-06,颇林,
2020-02-07,颇林,
2020-02-08,颇林,
2020-02-09,颇林,
2020-02-10,颇林,
2020-02-11,颇林,
2020-02-12,颇林,3.8
2020-02-13,颇林,
2020-02-14,颇林,
2020-02-15,颇林,2.6
2020-02-16,颇林,10.4
2020-02-17,颇林,0.1
2020-02-18,颇林,
2020-02-19,颇林,
2020-02-20,颇林,
2020-02-21,颇林,7.3
2020-02-22,颇林,2.0
2020-02-23,颇林,
2020-02-24,颇林,
2020-02-25,颇林,24.3
2020-02-26,颇林,
2020-02-27,颇林,
2020-02-28,颇林,3.3
2020-02-29,颇林,
2020-03-01,颇林,0.2
2020-03-02,颇林,
2020-03-03,颇林,
2020-03-04,颇林,
2020-03-05,颇林,
2020-03-06,颇林,
2020-03-07,颇林,
2020-03-08,颇林,
2020-03-09,颇林,
2020-03-10,颇林,11.2
2020-03-11,颇林,
2020-03-12,颇林,
2020-03-13,颇林,0.3
2020-03-14,颇林,
2020-03-15,颇林,
2020-03-16,颇林,
2020-03-17,颇林,0.3
2020-03-18,颇林,
2020-03-19,颇林,
2020-03-20,颇林,
2020-03-21,颇林,
2020-03-22,颇林,
2020-03-23,颇林,
2020-03-24,颇林,
2020-03-25,颇林,
2020-03-26,颇林,
