tm,stnNm,sumRn
2020-01-01,동두천,0.1
2020-01-02,동두천,
2020-01-03,동두천,
2020-01-04,동두천,
2020-01-05,동두천,
2020-01-06,동두천,2.5
2020-01-07,동두천,49.1
2020-01-08,동두천,19.3
2020-01-09,동두천,
2020-01-10,동두천,
2020-01-11,동두천,
2020-01-12,동두천,
2020-01-13,동두천,
2020-01-14,동두천,
2020-01-15,동두천,
2020-01-16,동두천,
2020-01-17,동두천,0.0
2020-01-18,동두천,
2020-01-19,동두천,0.2
2020-01-20,동두천,
2020-01-21,동두천,
2020-01-22,동두천,
2020-01-23,동두천,
2020-01-24,동두천,
2020-01-25,동두천,
2020-01-26,동두천,
2020-01-27,동두천,0.0
2020-01-28,동두천,0.2
2020-01-29,동두천,
2020-01-30,동두천,0.0
2020-01-31,동두천,
2020-02-01,동두천,
2020-02-02,동두천,
2020-02-03,동두천,
2020-02-04,동두천,1.6
2020-02-05,동두천,
2020-02-06,동두천,
2020-02-07,동두천,
2020-02-08,동두천,
2020-02-09,동두천,
2020-02-10,동두천,
2020-02-11,동두천,
2020-02-12,동두천,3.9
2020-02-13,동두천,
2020-02-14,동두천,
2020-02-15,동두천,1.6
2020-02-16,동두천,11.0
2020-02-17,동두천,0.1
2020-02-18,동두천,
2020-02-19,동두천,
2020-02-20,동두천,
2020-02-21,동두천,6.7
2020-02-22,동두천,3.6
2020-02-23,동두천,
2020-02-24,동두천,
2020-02-25,동두천,22.9
2020-02-26,동두천,0.0
2020-02-27,동두천,
2020-02-28,동두천,3.4
2020-02-29,동두천,
2020-03-01,동두천,1.5
2020-03-02,동두천,
2020-03-03,동두천,
2020-03-04,동두천,
2020-03-05,동두천,
2020-03-06,동두천,
2020-03-07,동두천,
2020-03-08,동두천,
2020-03-09,동두천,
2020-03-10,동두천,14.0
2020-03-11,동두천,
2020-03-12,동두천,0.0
2020-03-13,동두천,0.2
2020-03-14,동두천,
2020-03-15,동두천,
2020-03-16,동두천,
2020-03-17,동두천,0.8
2020-03-18,동두천,
2020-03-19,동두천,0.0
2020-03-20,동두천,
2020-03-21,동두천,0.0
2020-03-22,동두천,
2020-03-23,동두천,
2020-03-24,동두천,
2020-03-25,동두천,
2020-03-26,동두천,0.7
2020-03-27,동두천,2.5
2020-03-28,동두천,
2020-03-29,동두천,
2020-03-30,동두천,
2020-03-31,동두천,
2020-04-01,동두천,0.0
2020-04-02,동두천,
2020-04-03,동두천,
2020-04-04,동두천,
2020-04-05,동두천,
2020-04-06,동두천,
2020-04-07,동두천,
2020-04-08,동두천,
2020-04-09,동두천,
2020-04-10,동두천,0.0
2020-04-11,동두천,0.0
2020-04-12,동두천,0.0
2020-04-13,동두천,
2020-04-14,동두천,
2020-04-15,동두천,
2020-04-16,동두천,
2020-04-17,동두천,13.7
2020-04-18,동두천,
2020-04-19,동두천,5.5
2020-04-20,동두천,0.3
2020-04-21,동두천,
2020-04-22,동두천,0.0
2020-04-23,동두천,
2020-04-24,동두천,
2020-04-25,동두천,
2020-04-26,동두천,
2020-04-27,동두천,
2020-04-28,동두천,
2020-04-29,동두천,
2020-04-30,동두천,
2020-05-01,동두천,
