tm,stnNm,sumRn
2020-01-01,이천,
2020-01-02,이천,
2020-01-03,이천,
2020-01-04,이천,
2020-01-05,이천,
2020-01-06,이천,4.4
2020-01-07,이천,64.0
2020-01-08,이천,1.4
2020-01-09,이천,
2020-01-10,이천,
2020-01-11,이천,
2020-01-12,이천,
2020-01-13,이천,
2020-01-14,이천,
2020-01-15,이천,
2020-01-16,이천,
2020-01-17,이천,
2020-01-18,이천,
2020-01-19,이천,0.5
2020-01-20,이천,
2020-01-21,이천,
2020-01-22,이천,0.0
2020-01-23,이천,
2020-01-24,이천,
2020-01-25,이천,
2020-01-26,이천,
2020-01-27,이천,2.1
2020-01-28,이천,0.2
2020-01-29,이천,
2020-01-30,이천,
2020-01-31,이천,
2020-02-01,이천,
2020-02-02,이천,
2020-02-03,이천,
2020-02-04,이천,1.7
2020-02-05,이천,
2020-02-06,이천,
2020-02-07,이천,
2020-02-08,이천,
2020-02-09,이천,
2020-02-10,이천,
2020-02-11,이천,
2020-02-12,이천,14.5
2020-02-13,이천,
2020-02-14,이천,
2020-02-15,이천,0.8
2020-02-16,이천,7.1
2020-02-17,이천,0.8
2020-02-18,이천,
2020-02-19,이천,
2020-02-20,이천,
2020-02-21,이천,2.6
2020-02-22,이천,4.0
2020-02-23,이천,
2020-02-24,이천,
2020-02-25,이천,24.0
2020-02-26,이천,
2020-02-27,이천,
2020-02-28,이천,4.0
2020-02-29,이천,0.0
2020-03-01,이천,0.0
2020-03-02,이천,0.0
2020-03-03,이천,
2020-03-04,이천,0.0
2020-03-05,이천,
2020-03-06,이천,
2020-03-07,이천,
2020-03-08,이천,
2020-03-09,이천,
2020-03-10,이천,8.7
2020-03-11,이천,
2020-03-12,이천,
2020-03-13,이천,
2020-03-14,이천,
2020-03-15,이천,
2020-03-16,이천,
2020-03-17,이천,
2020-03-18,이천,
2020-03-19,이천,0.2
2020-03-20,이천,
2020-03-21,이천,
2020-03-22,이천,
2020-03-23,이천,
2020-03-24,이천,
2020-03-25,이천,
2020-03-26,이천,3.4
2020-03-27,이천,8.1
2020-03-28,이천,
2020-03-29,이천,
2020-03-30,이천,
2020-03-31,이천,
2020-04-01,이천,
2020-04-02,이천,
2020-04-03,이천,
2020-04-04,이천,
2020-04-05,이천,
2020-04-06,이천,
2020-04-07,이천,
2020-04-08,이천,
2020-04-09,이천,
2020-04-10,이천,
2020-04-11,이천,
2020-04-12,이천,
2020-04-13,이천,
2020-04-14,이천,
2020-04-15,이천,
2020-04-16,이천,
2020-04-17,이천,9.6
2020-04-18,이천,2.5
2020-04-19,이천,13.5
2020-04-20,이천,0.5
2020-04-21,이천,
2020-04-22,이천,0.0
2020-04-23,이천,
2020-04-24,이천,
2020-04-25,이천,
2020-04-26,이천,
2020-04-27,이천,2.2
2020-04-28,이천,
2020-04-29,이천,
2020-04-30,이천,
2020-05-01,이천,
2020-05-02,이천,0.0
2020-05-03,이천,
2020-05-04,이천,
2020-05-05,이천,3.1
2020-05-06,이천,
2020-05-07,이천,
2020-05-08,이천,1.4
2020-05-09,이천,29.6
2020-05-10,이천,1.1
2020-05-11,이천,0.1
2020-05-12,이천,0.6
2020-05-13,이천,
2020-05-14,이천,0.0
2020-05-15,이천,16.6
2020-05-16,이천,0.5
2020-05-17,이천,
2020-05-18,이천,44.7
2020-05-19,이천,8.0
2020-05-20,이천,
2020-05-21,이천,
