tm,stnNm,sumRn
2020-01-01,인천,0.0
2020-01-02,인천,
2020-01-03,인천,
2020-01-04,인천,
2020-01-05,인천,
2020-01-06,인천,2.3
2020-01-07,인천,42.2
2020-01-08,인천,3.4
2020-01-09,인천,
2020-01-10,인천,
2020-01-11,인천,
2020-01-12,인천,
2020-01-13,인천,
2020-01-14,인천,
2020-01-15,인천,
2020-01-16,인천,
2020-01-17,인천,
2020-01-18,인천,
2020-01-19,인천,0.1
2020-01-20,인천,
2020-01-21,인천,
2020-01-22,인천,
2020-01-23,인천,
2020-01-24,인천,
2020-01-25,인천,
2020-01-26,인천,
2020-01-27,인천,0.6
2020-01-28,인천,0.0
2020-01-29,인천,
2020-01-30,인천,
2020-01-31,인천,
2020-02-01,인천,
2020-02-02,인천,0.0
2020-02-03,인천,0.0
2020-02-04,인천,0.9
2020-02-05,인천,
2020-02-06,인천,
2020-02-07,인천,0.0
2020-02-08,인천,0.0
2020-02-09,인천,
2020-02-10,인천,0.0
2020-02-11,인천,
2020-02-12,인천,5.9
2020-02-13,인천,
2020-02-14,인천,
2020-02-15,인천,3.8
2020-02-16,인천,10.2
2020-02-17,인천,0.1
2020-02-18,인천,
2020-02-19,인천,
2020-02-20,인천,
2020-02-21,인천,5.8
2020-02-22,인천,1.1
2020-02-23,인천,
2020-02-24,인천,0.0
2020-02-25,인천,17.5
2020-02-26,인천,
2020-02-27,인천,
2020-02-28,인천,4.1
2020-02-29,인천,0.3
2020-03-01,인천,0.0
2020-03-02,인천,
2020-03-03,인천,
2020-03-04,인천,0.0
2020-03-05,인천,
2020-03-06,인천,
2020-03-07,인천,
2020-03-08,인천,
2020-03-09,인천,0.0
2020-03-10,인천,6.1
2020-03-11,인천,
2020-03-12,인천,
2020-03-13,인천,0.0
2020-03-14,인천,
2020-03-15,인천,
2020-03-16,인천,
2020-03-17,인천,
2020-03-18,인천,
2020-03-19,인천,
2020-03-20,인천,
2020-03-21,인천,
2020-03-22,인천,
2020-03-23,인천,
2020-03-24,인천,
2020-03-25,인천,
2020-03-26,인천,3.5
2020-03-27,인천,1.1
2020-03-28,인천,
2020-03-29,인천,
2020-03-30,인천,
2020-03-31,인천,
2020-04-01,인천,
2020-04-02,인천,
2020-04-03,인천,
2020-04-04,인천,
2020-04-05,인천,
2020-04-06,인천,
2020-04-07,인천,
2020-04-08,인천,
2020-04-09,인천,
2020-04-10,인천,
2020-04-11,인천,
2020-04-12,인천,
2020-04-13,인천,
2020-04-14,인천,
2020-04-15,인천,
2020-04-16,인천,
2020-04-17,인천,2.6
2020-04-18,인천,
2020-04-19,인천,11.2
2020-04-20,인천,0.0
2020-04-21,인천,
2020-04-22,인천,0.0
2020-04-23,인천,
2020-04-24,인천,
2020-04-25,인천,
2020-04-26,인천,
2020-04-27,인천,
2020-04-28,인천,
2020-04-29,인천,
2020-04-30,인천,
2020-05-01,인천,
2020-05-02,인천,0.0
2020-05-03,인천,0.1
2020-05-04,인천,
2020-05-05,인천,0.0
2020-05-06,인천,
2020-05-07,인천,
2020-05-08,인천,2.9
2020-05-09,인천,24.1
2020-05-10,인천,0.8
2020-05-11,인천,2.6
2020-05-12,인천,0.3
2020-05-13,인천,
2020-05-14,인천,
2020-05-15,인천,10.4
2020-05-16,인천,1.7
2020-05-17,인천,0.1
2020-05-18,인천,35.7
2020-05-19,인천,4.7
2020-05-20,인천,
2020-05-21,인천,0.0
2020-05-22,인천,0.0
2020-05-23,인천,0.1
2020-05-24,인천,15.9
2020-05-25,인천,
2020-05-26,인천,1.5
2020-05-27,인천,
2020-05-28,인천,
2020-05-29,인천,
2020-05-30,인천,
2020-05-31,인천,0.3
2020-06-01,인천,0.4
2020-06-02,인천,2.7
2020-06-03,인천,0.0
2020-06-04,인천,0.9
2020-06-05,인천,0.0
2020-06-06,인천,
2020-06-07,인천,
2020-06-08,인천,0.0
2020-06-09,인천,
2020-06-10,인천,9.4
2020-06-11,인천,
2020-06-12,인천,
2020-06-13,인천,
2020-06-14,인천,0.2
2020-06-15,인천,
2020-06-16,인천,
2020-06-17,인천,
2020-06-18,인천,
2020-06-19,인천,0.1
2020-06-20,인천,
2020-06-21,인천,
2020-06-22,인천,
2020-06-23,인천,0.0
2020-06-24,인천,23.5
2020-06-25,인천,6.9
2020-06-26,인천,1.6
2020-06-27,인천,0.0
2020-06-28,인천,
2020-06-29,인천,22.0
2020-06-30,인천,32.5
2020-07-01,인천,0.1
2020-07-02,인천,
2020-07-03,인천,0.8
2020-07-04,인천,0.5
2020-07-05,인천,
2020-07-06,인천,
2020-07-07,인천,0.0
2020-07-08,인천,
2020-07-09,인천,
2020-07-10,인천,1.7
2020-07-11,인천,
2020-07-12,인천,2.7
2020-07-13,인천,50.6
2020-07-14,인천,9.2
2020-07-15,인천,0.0
2020-07-16,인천,
2020-07-17,인천,
2020-07-18,인천,
2020-07-19,인천,22.0
2020-07-20,인천,2.3
2020-07-21,인천,
2020-07-22,인천,25.0
2020-07-23,인천,101.8
2020-07-24,인천,7.8
2020-07-25,인천,0.0
2020-07-26,인천,
2020-07-27,인천,4.9
2020-07-28,인천,0.1
2020-07-29,인천,13.8
2020-07-30,인천,0.2
2020-07-31,인천,0.0
2020-08-01,인천,38.2
2020-08-02,인천,21.6
2020-08-03,인천,50.5
2020-08-04,인천,1.7
2020-08-05,인천,15.2
2020-08-06,인천,59.4
2020-08-07,인천,0.1
2020-08-08,인천,18.2
2020-08-09,인천,103.8
2020-08-10,인천,20.1
2020-08-11,인천,106.6
2020-08-12,인천,0.1
2020-08-13,인천,0.0
2020-08-14,인천,0.1
2020-08-15,인천,27.3
2020-08-16,인천,
2020-08-17,인천,
2020-08-18,인천,
2020-08-19,인천,
2020-08-20,인천,
2020-08-21,인천,0.4
2020-08-22,인천,0.4
2020-08-23,인천,
2020-08-24,인천,
2020-08-25,인천,
2020-08-26,인천,0.5
2020-08-27,인천,12.4
2020-08-28,인천,8.7
2020-08-29,인천,0.3
2020-08-30,인천,0.8
2020-08-31,인천,0.0
2020-09-01,인천,0.0
2020-09-02,인천,34.5
2020-09-03,인천,39.0
2020-09-04,인천,
2020-09-05,인천,
2020-09-06,인천,3.1
2020-09-07,인천,62.7
2020-09-08,인천,0.0
2020-09-09,인천,2.2
2020-09-10,인천,0.0
2020-09-11,인천,0.0
2020-09-12,인천,6.6
2020-09-13,인천,
2020-09-14,인천,
2020-09-15,인천,
2020-09-16,인천,0.5
2020-09-17,인천,
2020-09-18,인천,
2020-09-19,인천,19.1
2020-09-20,인천,
2020-09-21,인천,
2020-09-22,인천,
2020-09-23,인천,
2020-09-24,인천,
2020-09-25,인천,0.0
2020-09-26,인천,
2020-09-27,인천,
2020-09-28,인천,
2020-09-29,인천,
2020-09-30,인천,
2020-10-01,인천,
2020-10-02,인천,1.2
2020-10-03,인천,0.1
2020-10-04,인천,0.0
2020-10-05,인천,
2020-10-06,인천,
2020-10-07,인천,
2020-10-08,인천,
2020-10-09,인천,
2020-10-10,인천,
2020-10-11,인천,
2020-10-12,인천,
2020-10-13,인천,
2020-10-14,인천,
2020-10-15,인천,
2020-10-16,인천,
2020-10-17,인천,0.2
2020-10-18,인천,
2020-10-19,인천,
2020-10-20,인천,
2020-10-21,인천,
2020-10-22,인천,0.4
2020-10-23,인천,
2020-10-24,인천,
2020-10-25,인천,
2020-10-26,인천,
2020-10-27,인천,
2020-10-28,인천,
2020-10-29,인천,
2020-10-30,인천,
2020-10-31,인천,
2020-11-01,인천,20.7
2020-11-02,인천,0.6
2020-11-03,인천,0.2
2020-11-04,인천,
2020-11-05,인천,
2020-11-06,인천,
2020-11-07,인천,0.0
2020-11-08,인천,
2020-11-09,인천,0.0
2020-11-10,인천,
2020-11-11,인천,
2020-11-12,인천,
2020-11-13,인천,
2020-11-14,인천,
2020-11-15,인천,
2020-11-16,인천,
2020-11-17,인천,0.8
2020-11-18,인천,8.5
2020-11-19,인천,47.7
2020-11-20,인천,0.0
2020-11-21,인천,0.9
2020-11-22,인천,2.2
2020-11-23,인천,
2020-11-24,인천,
2020-11-25,인천,
2020-11-26,인천,
2020-11-27,인천,
2020-11-28,인천,
2020-11-29,인천,0.0
2020-11-30,인천,
2020-12-01,인천,
2020-12-02,인천,
2020-12-03,인천,
2020-12-04,인천,
2020-12-05,인천,
2020-12-06,인천,0.0
2020-12-07,인천,
2020-12-08,인천,
2020-12-09,인천,
2020-12-10,인천,0.2
2020-12-11,인천,
2020-12-12,인천,
2020-12-13,인천,3.7
2020-12-14,인천,
2020-12-15,인천,
2020-12-16,인천,
2020-12-17,인천,0.1
2020-12-18,인천,1.1
2020-12-19,인천,0.0
2020-12-20,인천,
2020-12-21,인천,
2020-12-22,인천,0.1
2020-12-23,인천,0.0
2020-12-24,인천,
2020-12-25,인천,
2020-12-26,인천,0.0
2020-12-27,인천,0.0
2020-12-28,인천,1.4
2020-12-29,인천,0.0
2020-12-30,인천,
2020-12-31,인천,0.0
