tm,stnNm,sumRn
2020-08-27,백령도,47.0
2020-08-28,백령도,3.6
2020-08-29,백령도,51.7
2020-08-30,백령도,
2020-08-31,백령도,
2020-09-01,백령도,14.0
2020-09-02,백령도,71.6
2020-09-03,백령도,12.2
2020-09-04,백령도,5.3
2020-09-05,백령도,
2020-09-06,백령도,
2020-09-07,백령도,12.6
2020-09-08,백령도,0.0
2020-09-09,백령도,10.9
2020-09-10,백령도,
2020-09-11,백령도,0.6
2020-09-12,백령도,0.9
2020-09-13,백령도,
2020-09-14,백령도,
2020-09-15,백령도,0.0
2020-09-16,백령도,104.8
2020-09-17,백령도,
2020-09-18,백령도,
2020-09-19,백령도,
2020-09-20,백령도,
2020-09-21,백령도,
2020-09-22,백령도,
2020-09-23,백령도,
2020-09-24,백령도,
2020-09-25,백령도,
2020-09-26,백령도,
2020-09-27,백령도,
2020-09-28,백령도,
2020-09-29,백령도,
2020-09-30,백령도,
2020-10-01,백령도,
2020-10-02,백령도,6.6
2020-10-03,백령도,
2020-10-04,백령도,0.0
2020-10-05,백령도,
2020-10-06,백령도,
2020-10-07,백령도,
2020-10-08,백령도,
2020-10-09,백령도,
2020-10-10,백령도,
2020-10-11,백령도,
2020-10-12,백령도,0.1
2020-10-13,백령도,0.0
2020-10-14,백령도,0.1
2020-10-15,백령도,
2020-10-16,백령도,11.8
2020-10-17,백령도,
2020-10-18,백령도,
2020-10-19,백령도,
2020-10-20,백령도,
2020-10-21,백령도,3.7
2020-10-22,백령도,
2020-10-23,백령도,
2020-10-24,백령도,
2020-10-25,백령도,
2020-10-26,백령도,
2020-10-27,백령도,
2020-10-28,백령도,
2020-10-29,백령도,
2020-10-30,백령도,
2020-10-31,백령도,0.2
2020-11-01,백령도,1.3
2020-11-02,백령도,1.4
2020-11-03,백령도,0.0
2020-11-04,백령도,
2020-11-05,백령도,
2020-11-06,백령도,0.0
2020-11-07,백령도,
2020-11-08,백령도,
2020-11-09,백령도,0.4
2020-11-10,백령도,
2020-11-11,백령도,
2020-11-12,백령도,
2020-11-13,백령도,
2020-11-14,백령도,
2020-11-15,백령도,
2020-11-16,백령도,
2020-11-17,백령도,0.0
2020-11-18,백령도,16.3
2020-11-19,백령도,18.0
2020-11-20,백령도,0.0
2020-11-21,백령도,0.0
2020-11-22,백령도,
2020-11-23,백령도,
2020-11-24,백령도,
2020-11-25,백령도,
2020-11-26,백령도,
2020-11-27,백령도,
2020-11-28,백령도,0.0
2020-11-29,백령도,0.0
2020-11-30,백령도,
2020-12-01,백령도,
2020-12-02,백령도,
2020-12-03,백령도,
2020-12-04,백령도,0.3
2020-12-05,백령도,0.0
2020-12-06,백령도,0.1
2020-12-07,백령도,0.0
2020-12-08,백령도,
2020-12-09,백령도,0.0
2020-12-10,백령도,1.3
2020-12-11,백령도,0.0
2020-12-12,백령도,
2020-12-13,백령도,1.1
2020-12-14,백령도,0.0
2020-12-15,백령도,0.0
2020-12-16,백령도,0.0
2020-12-17,백령도,0.1
2020-12-18,백령도,
2020-12-19,백령도,0.2
2020-12-20,백령도,0.0
2020-12-21,백령도,0.1
2020-12-22,백령도,0.0
2020-12-23,백령도,
2020-12-24,백령도,0.0
2020-12-25,백령도,0.0
2020-12-26,백령도,
2020-12-27,백령도,1.6
2020-12-28,백령도,
2020-12-29,백령도,0.0
2020-12-30,백령도,0.7
2020-12-31,백령도,3.6
