tm,stnNm,sumRn
2020-01-01,양평,0.1
2020-01-02,양평,
2020-01-03,양평,
2020-01-04,양평,
2020-01-05,양평,
2020-01-06,양평,2.5
2020-01-07,양평,57.1
2020-01-08,양평,3.3
2020-01-09,양평,
2020-01-10,양평,
2020-01-11,양평,
2020-01-12,양평,
2020-01-13,양평,
2020-01-14,양평,
2020-01-15,양평,
2020-01-16,양평,
2020-01-17,양평,
2020-01-18,양평,
2020-01-19,양평,0.7
2020-01-20,양평,
2020-01-21,양평,
2020-01-22,양평,
2020-01-23,양평,
2020-01-24,양평,
2020-01-25,양평,
2020-01-26,양평,
2020-01-27,양평,0.0
2020-01-28,양평,0.4
2020-01-29,양평,
2020-01-30,양평,
2020-01-31,양평,0.0
2020-02-01,양평,
2020-02-02,양평,
2020-02-03,양평,
2020-02-04,양평,1.5
2020-02-05,양평,
2020-02-06,양평,
2020-02-07,양평,
2020-02-08,양평,0.0
2020-02-09,양평,
2020-02-10,양평,
2020-02-11,양평,
2020-02-12,양평,7.3
2020-02-13,양평,
2020-02-14,양평,
2020-02-15,양평,1.0
2020-02-16,양평,9.1
2020-02-17,양평,1.8
2020-02-18,양평,
2020-02-19,양평,
2020-02-20,양평,
2020-02-21,양평,2.3
2020-02-22,양평,4.3
2020-02-23,양평,
2020-02-24,양평,0.0
2020-02-25,양평,18.6
2020-02-26,양평,
2020-02-27,양평,
2020-02-28,양평,4.0
2020-02-29,양평,0.2
2020-03-01,양평,0.0
2020-03-02,양평,
2020-03-03,양평,
2020-03-04,양평,
2020-03-05,양평,
2020-03-06,양평,
2020-03-07,양평,
2020-03-08,양평,
2020-03-09,양평,
2020-03-10,양평,8.1
2020-03-11,양평,
2020-03-12,양평,
2020-03-13,양평,0.1
2020-03-14,양평,
2020-03-15,양평,
2020-03-16,양평,
2020-03-17,양평,0.1
2020-03-18,양평,
2020-03-19,양평,0.0
2020-03-20,양평,
2020-03-21,양평,
2020-03-22,양평,
2020-03-23,양평,
2020-03-24,양평,
2020-03-25,양평,
2020-03-26,양평,1.4
2020-03-27,양평,6.0
2020-03-28,양평,
2020-03-29,양평,
2020-03-30,양평,
2020-03-31,양평,
2020-04-01,양평,
2020-04-02,양평,
2020-04-03,양평,
2020-04-04,양평,
2020-04-05,양평,
2020-04-06,양평,
2020-04-07,양평,
2020-04-08,양평,
2020-04-09,양평,
2020-04-10,양평,
2020-04-11,양평,
2020-04-12,양평,0.0
2020-04-13,양평,
2020-04-14,양평,
2020-04-15,양평,
2020-04-16,양평,
2020-04-17,양평,5.0
2020-04-18,양평,0.1
