tm,stnNm,sumRn
2016-01-01,동두천,
2016-01-02,동두천,
2016-01-03,동두천,
2016-01-04,동두천,
2016-01-05,동두천,
2016-01-06,동두천,
2016-01-07,동두천,
2016-01-08,동두천,
2016-01-09,동두천,
2016-01-10,동두천,
2016-01-11,동두천,
2016-01-12,동두천,
2016-01-13,동두천,0.0
2016-01-14,동두천,
2016-01-15,동두천,
2016-01-16,동두천,0.3
2016-01-17,동두천,
2016-01-18,동두천,0.7
2016-01-19,동두천,
2016-01-20,동두천,
2016-01-21,동두천,
2016-01-22,동두천,
2016-01-23,동두천,
2016-01-24,동두천,
2016-01-25,동두천,
2016-01-26,동두천,0.3
2016-01-27,동두천,
2016-01-28,동두천,
2016-01-29,동두천,
2016-01-30,동두천,
2016-01-31,동두천,
2016-02-01,동두천,
2016-02-02,동두천,
2016-02-03,동두천,
2016-02-04,동두천,
2016-02-05,동두천,
2016-02-06,동두천,
2016-02-07,동두천,
2016-02-08,동두천,
2016-02-09,동두천,
2016-02-10,동두천,
2016-02-11,동두천,0.4
2016-02-12,동두천,17.9
2016-02-13,동두천,23.1
2016-02-14,동두천,1.3
2016-02-15,동두천,
2016-02-16,동두천,0.9
2016-02-17,동두천,
2016-02-18,동두천,
2016-02-19,동두천,
2016-02-20,동두천,
2016-02-21,동두천,
2016-02-22,동두천,
2016-02-23,동두천,0.3
2016-02-24,동두천,
2016-02-25,동두천,1.0
2016-02-26,동두천,
2016-02-27,동두천,
2016-02-28,동두천,2.9
2016-02-29,동두천,
2016-03-01,동두천,
2016-03-02,동두천,
2016-03-03,동두천,
2016-03-04,동두천,
2016-03-05,동두천,51.2
2016-03-06,동두천,
2016-03-07,동두천,
2016-03-08,동두천,
2016-03-09,동두천,
2016-03-10,동두천,
2016-03-11,동두천,
2016-03-12,동두천,
2016-03-13,동두천,2.0
2016-03-14,동두천,
2016-03-15,동두천,
2016-03-16,동두천,
2016-03-17,동두천,
2016-03-18,동두천,
2016-03-19,동두천,
2016-03-20,동두천,
2016-03-21,동두천,
2016-03-22,동두천,
2016-03-23,동두천,
2016-03-24,동두천,
2016-03-25,동두천,0.0
2016-03-26,동두천,
2016-03-27,동두천,
2016-03-28,동두천,
2016-03-29,동두천,0.1
2016-03-30,동두천,
2016-03-31,동두천,
2016-04-01,동두천,
2016-04-02,동두천,
2016-04-03,동두천,0.1
2016-04-04,동두천,
2016-04-05,동두천,
2016-04-06,동두천,0.0
2016-04-07,동두천,7.6
2016-04-08,동두천,
2016-04-09,동두천,
2016-04-10,동두천,
2016-04-11,동두천,
2016-04-12,동두천,
2016-04-13,동두천,0.3
2016-04-14,동두천,
2016-04-15,동두천,
2016-04-16,동두천,29.2
2016-04-17,동두천,28.1
2016-04-18,동두천,3.6
2016-04-19,동두천,
2016-04-20,동두천,0.1
2016-04-21,동두천,17.5
2016-04-22,동두천,
2016-04-23,동두천,
2016-04-24,동두천,
2016-04-25,동두천,
2016-04-26,동두천,
2016-04-27,동두천,
2016-04-28,동두천,
2016-04-29,동두천,
2016-04-30,동두천,0.0
2016-05-01,동두천,
2016-05-02,동두천,9.5
2016-05-03,동두천,45.2
2016-05-04,동두천,0.0
2016-05-05,동두천,9.4
2016-05-06,동두천,5.3
2016-05-07,동두천,
2016-05-08,동두천,
2016-05-09,동두천,0.0
2016-05-10,동두천,12.6
2016-05-11,동두천,
2016-05-12,동두천,
2016-05-13,동두천,
2016-05-14,동두천,
2016-05-15,동두천,34.6
2016-05-16,동두천,1.2
2016-05-17,동두천,
2016-05-18,동두천,
2016-05-19,동두천,
2016-05-20,동두천,
2016-05-21,동두천,
2016-05-22,동두천,
2016-05-23,동두천,0.0
2016-05-24,동두천,33.7
2016-05-25,동두천,
2016-05-26,동두천,0.3
2016-05-27,동두천,
2016-05-28,동두천,
2016-05-29,동두천,
2016-05-30,동두천,
2016-05-31,동두천,
2016-06-01,동두천,
2016-06-02,동두천,
2016-06-03,동두천,
2016-06-04,동두천,
2016-06-05,동두천,
2016-06-06,동두천,
2016-06-07,동두천,0.0
2016-06-08,동두천,
2016-06-09,동두천,
2016-06-10,동두천,
2016-06-11,동두천,5.0
2016-06-12,동두천,0.8
2016-06-13,동두천,
2016-06-14,동두천,0.5
2016-06-15,동두천,17.9
2016-06-16,동두천,
2016-06-17,동두천,
2016-06-18,동두천,
2016-06-19,동두천,
2016-06-20,동두천,
2016-06-21,동두천,
2016-06-22,동두천,2.2
2016-06-23,동두천,0.1
2016-06-24,동두천,2.5
2016-06-25,동두천,
2016-06-26,동두천,
2016-06-27,동두천,
2016-06-28,동두천,
2016-06-29,동두천,
2016-06-30,동두천,0.5
2016-07-01,동두천,99.0
2016-07-02,동두천,0.2
2016-07-03,동두천,
2016-07-04,동두천,22.5
2016-07-05,동두천,162.1
2016-07-06,동두천,0.6
2016-07-07,동두천,
2016-07-08,동두천,
2016-07-09,동두천,
2016-07-10,동두천,
2016-07-11,동두천,
2016-07-12,동두천,0.4
2016-07-13,동두천,2.1
2016-07-14,동두천,
2016-07-15,동두천,2.0
2016-07-16,동두천,33.2
2016-07-17,동두천,9.4
2016-07-18,동두천,1.0
2016-07-19,동두천,
2016-07-20,동두천,
2016-07-21,동두천,
2016-07-22,동두천,
2016-07-23,동두천,4.9
2016-07-24,동두천,14.5
2016-07-25,동두천,0.0
2016-07-26,동두천,
2016-07-27,동두천,6.9
2016-07-28,동두천,0.0
2016-07-29,동두천,5.6
2016-07-30,동두천,1.9
2016-07-31,동두천,0.0
2016-08-01,동두천,
2016-08-02,동두천,0.0
2016-08-03,동두천,
2016-08-04,동두천,
2016-08-05,동두천,
2016-08-06,동두천,
2016-08-07,동두천,
2016-08-08,동두천,
2016-08-09,동두천,
2016-08-10,동두천,
2016-08-11,동두천,
2016-08-12,동두천,
2016-08-13,동두천,
2016-08-14,동두천,2.5
2016-08-15,동두천,
2016-08-16,동두천,
2016-08-17,동두천,
2016-08-18,동두천,
2016-08-19,동두천,0.0
2016-08-20,동두천,
2016-08-21,동두천,0.2
2016-08-22,동두천,
2016-08-23,동두천,16.6
2016-08-24,동두천,7.3
2016-08-25,동두천,7.5
2016-08-26,동두천,5.9
2016-08-27,동두천,
2016-08-28,동두천,3.3
2016-08-29,동두천,0.1
2016-08-30,동두천,0.0
2016-08-31,동두천,27.0
2016-09-01,동두천,6.1
2016-09-02,동두천,13.6
2016-09-03,동두천,0.0
2016-09-04,동두천,
2016-09-05,동두천,
2016-09-06,동두천,
2016-09-07,동두천,0.0
2016-09-08,동두천,0.2
2016-09-09,동두천,0.0
2016-09-10,동두천,
2016-09-11,동두천,
2016-09-12,동두천,
2016-09-13,동두천,
2016-09-14,동두천,
2016-09-15,동두천,
2016-09-16,동두천,
2016-09-17,동두천,1.3
2016-09-18,동두천,
2016-09-19,동두천,
2016-09-20,동두천,
2016-09-21,동두천,
2016-09-22,동두천,
2016-09-23,동두천,
2016-09-24,동두천,
2016-09-25,동두천,
2016-09-26,동두천,0.0
2016-09-27,동두천,18.3
2016-09-28,동두천,0.1
2016-09-29,동두천,
2016-09-30,동두천,
2016-10-01,동두천,
2016-10-02,동두천,33.9
2016-10-03,동두천,70.0
2016-10-04,동두천,
2016-10-05,동두천,
2016-10-06,동두천,
2016-10-07,동두천,0.0
2016-10-08,동두천,2.6
2016-10-09,동두천,
2016-10-10,동두천,
2016-10-11,동두천,
2016-10-12,동두천,
2016-10-13,동두천,
2016-10-14,동두천,
2016-10-15,동두천,
2016-10-16,동두천,0.8
2016-10-17,동두천,
2016-10-18,동두천,
2016-10-19,동두천,
2016-10-20,동두천,
2016-10-21,동두천,
2016-10-22,동두천,0.0
2016-10-23,동두천,3.7
2016-10-24,동두천,
2016-10-25,동두천,43.0
2016-10-26,동두천,
2016-10-27,동두천,
2016-10-28,동두천,0.8
2016-10-29,동두천,
2016-10-30,동두천,
2016-10-31,동두천,0.1
2016-11-01,동두천,
2016-11-02,동두천,0.2
2016-11-03,동두천,1.5
2016-11-04,동두천,0.0
2016-11-05,동두천,
2016-11-06,동두천,
2016-11-07,동두천,5.9
2016-11-08,동두천,0.3
2016-11-09,동두천,
2016-11-10,동두천,0.0
2016-11-11,동두천,4.1
2016-11-12,동두천,
2016-11-13,동두천,0.4
2016-11-14,동두천,3.6
2016-11-15,동두천,
2016-11-16,동두천,
2016-11-17,동두천,
2016-11-18,동두천,
2016-11-19,동두천,0.0
2016-11-20,동두천,
2016-11-21,동두천,
2016-11-22,동두천,0.0
2016-11-23,동두천,
2016-11-24,동두천,
2016-11-25,동두천,
2016-11-26,동두천,1.4
2016-11-27,동두천,
2016-11-28,동두천,
2016-11-29,동두천,
2016-11-30,동두천,0.7
2016-12-01,동두천,0.0
2016-12-02,동두천,
2016-12-03,동두천,
2016-12-04,동두천,
2016-12-05,동두천,0.2
2016-12-06,동두천,
2016-12-07,동두천,0.1
2016-12-08,동두천,2.9
2016-12-09,동두천,7.3
2016-12-10,동두천,
2016-12-11,동두천,
2016-12-12,동두천,
2016-12-13,동두천,
2016-12-14,동두천,1.2
2016-12-15,동두천,
2016-12-16,동두천,
2016-12-17,동두천,
2016-12-18,동두천,
2016-12-19,동두천,0.3
2016-12-20,동두천,
2016-12-21,동두천,24.7
2016-12-22,동두천,29.5
2016-12-23,동두천,0.1
2016-12-24,동두천,
2016-12-25,동두천,
2016-12-26,동두천,
2016-12-27,동두천,1.3
2016-12-28,동두천,
2016-12-29,동두천,0.1
2016-12-30,동두천,
2016-12-31,동두천,
