,날짜,지역명,강수량,사망자수,주야구분코드,부상자수,사고유형대분류코드,사고유형중분류코드,사고유형코드,가해자법규위반코드,도로형태대분류코드,도로형태코드,가해당사자종별코드,피해당사자종별코드,경도,위도
64,20161107,양평,4.5,1,2,1,1,15,5,5,01,05,1,12,127.59003578,37.49312141
65,20161110,수원,0.3,1,2,1,1,11,01,5,02,06,1,12,127.02899528,37.29177172
66,20161111,이천,3.2,1,2,2,2,23,Z1,5,01,05,1,10,127.13978713,37.32843902
67,20161113,수원,0.8,1,2,1,3,31,32,5,2,06,7,##,127.06013258,37.22141763
68,20161114,양평,1.5,1,2,2,2,24,25,5,1,5,3,01,127.42051719,37.73941349
69,20161122,파주,0.1,1,2,1,2,24,25,3,2,06,3,05,126.75299234,37.69437801
70,20161122,파주,0.1,1,2,1,1,11,01,7,1,Z1,1,12,126.77803446,37.65251437
71,20161127,수원,0.5,1,1,3,2,24,25,5,1,03,1,03,126.89896638,37.12387169
72,20161205,동두천,0.2,1,1,1,1,11,01,5,Z3,Z3,1,12,127.1547404,37.82453296
73,20161205,이천,0.1,1,1,1,1,12,02,5,01,05,1,12,127.11938837,37.27509391
74,20161207,이천,0.1,1,2,1,3,31,32,5,02,06,1,##,127.22525976,37.27814523
75,20161209,수원,1.1,1,2,1,1,11,01,5,1,Z1,1,12,127.06902333,37.20800138
76,20161209,이천,1.4,1,2,2,2,22,22,3,02,06,1,03,127.33609606,37.18043975
77,20161214,이천,0.7,1,2,1,3,34,31,5,01,05,1,##,127.10215141,37.30111454
78,20161219,양평,0.1,1,1,1,1,11,1,7,01,Z1,1,12,127.49445713,37.49002784
79,20161223,파주,0.1,1,1,1,1,12,02,5,1,05,3,12,126.92420698,37.71840322
80,20161226,양평,0.5,1,1,1,1,15,5,5,02,06,3,12,127.45277672,37.50124957
81,20161227,이천,0.5,1,2,1,1,11,01,3,01,Z1,3,12,127.08017896,37.31329032
