occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2020011502,1,2,1,03,31,32,05 ,01,05,01,##,##,127.58213608,37.47948946
2020020421,1,2,17,02,24,25,05 ,01,05,04,01,01,127.7526129,37.41088786
2020040416,1,1,1,03,31,32,05 ,01,05,05,##,##,127.3481198,37.53744123
2020041723,1,2,1,03,31,32,05 ,01,05,01,##,##,127.75391687,37.41221009
2020041916,1,1,1,03,31,32,05 ,01,05,05,##,##,127.75704166,37.41725105
2020070100,1,2,1,02,24,25,05 ,01,05,01,03,03,127.53010225,37.43627531
2020090602,1,2,1,03,31,32,05 ,01,05,05,##,##,127.3707429,37.52655268
2020102723,1,2,1,01,12,02,99 ,01,05,01,12,12,127.35950621,37.63420654
2020121013,1,1,2,02,21,21,02 ,01,05,03,10,10,127.34710148,37.59264797
