occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2020010323,1,2,1,03,31,32,05 ,01,05,01,##,##,127.29960661,37.91207014
2020010618,1,2,1,01,13,03,05 ,01,05,01,12,12,127.31407735,38.0023406
2020010717,1,1,2,01,11,01,07 ,01,05,01,12,12,127.27442841,38.09136287
2020013013,1,1,3,02,22,22,03 ,02,06,06,02,02,127.21581971,37.92110894
2020020216,3,1,5,02,21,21,02 ,01,05,01,01,01,127.28298237,38.02155683
2020030823,1,2,1,03,31,32,05 ,01,05,01,##,##,127.18352099,37.98156644
2020031305,1,2,1,01,11,01,05 ,01,05,03,12,12,127.14803835,37.82650502
2020031417,1,1,3,02,22,22,01 ,02,06,01,01,01,127.18718349,38.02007019
2020031504,1,2,1,03,32,34,05 ,01,05,01,##,##,127.2737453,38.02805571
2020051813,1,1,1,02,24,25,03 ,02,06,03,05,05,127.14856997,37.82702035
2020062421,1,2,2,02,21,21,02 ,02,08,01,03,03,127.36851154,38.02128702
2020071113,1,1,1,03,38,38,05 ,01,05,08,##,##,127.09904998,37.98412085
2020072309,1,1,1,02,24,25,03 ,02,06,03,03,03,127.2115846,37.88389289
2020081601,1,2,1,03,31,32,05 ,01,05,01,##,##,127.18820082,37.88193152
2020083021,4,2,5,02,23,23,01 ,01,05,01,98,98,127.20441223,38.07044225
2020100221,1,2,1,01,14,04,01 ,02,08,05,12,12,127.20210922,37.89582058
2020100906,2,1,5,02,22,22,05 ,02,06,01,03,03,127.19131583,37.88485095
2020101510,1,1,1,01,13,03,99 ,01,05,03,12,12,127.31600638,37.9550979
2020110900,1,2,1,03,31,32,05 ,01,05,03,##,##,127.18175864,37.81982308
2020122916,1,1,1,02,21,21,02 ,01,05,05,01,01,127.35472485,37.99291626
