occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2020010111,1,1,1,03,32,34,05 ,01,05,11,##,##,127.62601367,37.10341463
2020010319,1,2,1,01,15,05,05 ,02,08,01,12,12,127.40375263,37.25527692
2020010519,1,2,1,03,32,35,01 ,01,05,01,##,##,127.52124794,37.10321827
2020011120,1,2,1,01,11,01,05 ,02,08,01,12,12,127.43308349,37.28082483
2020011613,1,1,1,01,11,01,05 ,02,06,03,12,12,127.59155431,37.11367743
2020030910,1,1,2,02,22,22,05 ,02,06,05,04,04,127.5281271,37.29309943
2020031921,1,2,1,01,11,01,01 ,02,06,01,12,12,127.36076694,37.25451305
2020032314,1,1,1,03,31,32,05 ,01,05,01,##,##,127.56211716,37.10957699
2020033019,1,2,1,02,22,22,02 ,01,05,01,05,05,127.49239988,37.25098004
2020062120,1,2,1,03,33,33,05 ,05,98,01,03,03,127.35808227,37.24893919
2020062313,1,1,3,02,21,21,02 ,02,06,01,01,01,127.45612497,37.28906539
2020070903,3,2,3,01,12,02,01 ,02,06,01,12,12,127.40219521,37.30852132
2020071102,1,2,1,01,12,02,05 ,02,06,01,12,12,127.47619867,37.24264891
2020071720,1,2,1,02,22,22,03 ,02,06,09,01,01,127.49436235,37.2452382
2020082009,1,1,2,02,21,21,02 ,01,05,01,02,02,127.43159927,37.28797208
2020100816,1,1,4,02,23,23,05 ,02,06,03,01,01,127.52139717,37.23342798
2020110309,1,1,1,01,12,02,05 ,02,08,01,12,12,127.47719707,37.25948734
2020111117,1,1,1,01,15,05,99 ,02,08,01,12,12,127.45325301,37.26289663
2020112309,1,1,1,02,24,25,05 ,01,05,05,01,01,127.48035507,37.17128493
2020120220,1,2,1,02,24,25,02 ,01,05,08,01,01,127.47981864,37.28220314
2020122613,2,1,2,03,31,32,05 ,01,05,01,##,##,127.43420235,37.27843675
2020122707,1,1,1,01,11,01,05 ,01,05,03,12,12,127.39454893,37.21613001
