,날짜,지역명,강수량,사망자수,주야구분코드,부상자수,사고유형대분류코드,사고유형중분류코드,사고유형코드,가해자법규위반코드,도로형태대분류코드,도로형태코드,가해당사자종별코드,피해당사자종별코드,경도,위도
65,20200410,이천,0.0,1,2,1,2,23,23,5,1,5,3,04,127.10352516,37.27155344
66,20200410,파주,0.0,1,1,1,1,15,5,5,5,98,3,12,126.77873021,37.65090526
67,20200415,파주,0.0,1,1,1,2,23,23,3,2,6,2,10,126.88229095,37.59140102
68,20200418,수원,0.0,1,2,1,3,35,37,5,1,5,1,##,126.90119136,37.23141125
69,20200422,이천,0.0,1,2,1,3,31,32,5,1,5,1,##,127.32850417,37.19487866
70,20200423,수원,0.0,1,1,1,2,22,22,3,2,6,2,05,127.01418519,37.26246799
71,20200424,파주,0.0,1,1,2,1,15,5,2,1,5,1,12,126.83751348,37.62220917
72,20200425,파주,0.0,1,2,1,3,31,32,5,5,98,1,##,126.82058243,37.61115269
73,20200426,수원,0.0,1,1,1,3,31,32,5,1,5,5,##,126.9087561,37.28040381
74,20200430,동두천,0.0,1,1,1,1,11,1,5,2,7,10,12,127.05530201,37.93656478
75,20200430,파주,0.0,1,2,1,1,11,1,5,1,5,5,12,126.79358253,37.65787225
76,20200503,파주,0.0,1,2,1,3,31,32,5,1,5,5,##,126.7666349,37.76944383
77,20200503,이천,0.0,1,2,1,3,39,39,5,1,5,1,##,127.11994917,37.27572668
78,20200504,파주,0.0,1,1,1,2,23,23,4,1,5,1,11,126.78940635,37.82806893
79,20200506,파주,0.0,1,1,1,2,22,22,3,2,6,5,03,126.76127809,37.67552054
80,20200513,수원,0.0,1,1,1,2,24,25,5,1,5,3,10,126.85737484,37.2258814
81,20200521,수원,0.0,1,1,1,1,15,5,5,1,5,1,12,127.10577369,37.16682684
82,20200521,수원,0.0,1,1,1,3,31,32,5,1,5,1,##,127.00667985,37.30308067
83,20200522,수원,0.0,1,2,1,1,14,4,7,1,5,5,12,127.06688941,37.20672261
84,20200523,수원,0.0,1,1,1,3,35,37,5,5,98,11,##,126.83797899,37.04844105
85,20200527,파주,0.0,1,1,2,2,23,23,5,1,5,1,03,126.78455097,37.62907451
86,20200528,수원,0.0,1,2,1,2,22,22,5,2,7,2,08,127.00899358,37.30126048
87,20200529,파주,0.0,1,2,2,2,22,22,3,2,6,5,01,126.77287228,37.69360997
88,20200530,이천,0.0,1,2,1,3,31,32,5,1,5,5,##,127.06120312,37.32640697
89,20200605,수원,0.0,1,2,1,3,31,32,1,1,5,5,##,127.02570316,37.29069222
90,20200606,수원,0.0,1,1,1,3,35,37,5,2,8,5,##,126.76579539,37.04104834
91,20200606,수원,0.0,1,2,2,2,23,23,5,2,8,1,01,126.93539183,37.13482263
92,20200607,이천,0.0,1,1,1,3,31,32,5,1,5,7,##,127.29306493,37.17911945
93,20200607,이천,0.0,1,1,1,3,38,38,5,1,5,11,##,127.37148193,37.17350646
94,20200607,이천,0.0,1,1,1,3,31,32,5,1,5,3,##,127.19960366,37.19417124
95,20200608,파주,0.0,1,1,2,1,11,1,7,1,5,5,12,126.90248616,37.70614532
96,20200613,파주,0.0,1,1,1,1,11,1,5,2,8,10,12,126.74287739,37.75318723
97,20200613,파주,0.0,1,2,3,2,21,21,2,1,5,1,03,126.8155635,37.6074102
98,20200617,파주,0.0,1,1,2,2,23,23,5,1,2,3,01,126.88401027,37.67407126
99,20200621,이천,0.0,1,2,1,3,33,33,5,5,98,1,03,127.35808227,37.24893919
100,20200622,수원,0.0,1,1,1,1,15,5,5,1,5,3,12,127.02278193,37.20116274
101,20200622,파주,0.0,1,2,1,2,24,25,5,1,5,1,01,126.85684993,37.64799508
102,20200623,수원,0.0,1,1,2,2,21,21,2,5,98,1,01,126.7123762,37.18512844
103,20200623,이천,0.0,1,1,3,2,21,21,2,2,6,1,01,127.45612497,37.28906539
104,20200701,양평,0.0,1,2,1,2,24,25,5,1,5,1,03,127.53010225,37.43627531
105,20200706,파주,0.0,1,1,2,2,24,25,2,2,8,98,03,126.78120766,37.87667109
106,20200706,수원,0.0,1,2,1,3,35,37,5,5,98,1,##,126.86085763,37.2325976
107,20200708,수원,0.0,1,2,1,2,23,23,5,1,5,1,03,126.87616054,37.15802536
108,20200709,이천,0.0,3,2,3,1,12,2,1,2,6,1,12,127.40219521,37.30852132
109,20200711,이천,0.0,1,2,1,1,12,2,5,2,6,1,12,127.47619867,37.24264891
110,20200711,수원,0.0,1,1,1,2,22,22,2,2,8,1,05,127.03057782,37.24331635
111,20200721,수원,0.0,1,1,1,2,24,25,3,2,8,5,03,127.04408481,37.21529051
112,20200813,수원,0.0,1,1,1,3,32,34,5,2,8,11,##,126.70241166,37.24130831
113,20200816,수원,0.0,1,2,1,2,22,22,1,1,5,1,05,127.0277448,37.27089681
114,20200816,동두천,0.0,1,2,1,3,31,32,5,1,5,1,##,127.18820082,37.88193152
115,20200820,이천,0.0,1,1,2,2,21,21,2,1,5,1,02,127.43159927,37.28797208
116,20200918,이천,0.0,1,1,3,2,23,23,5,1,5,3,03,127.21238477,37.11889867
117,20200920,파주,0.0,1,2,1,1,11,1,5,1,5,1,12,126.91750585,37.9807662
118,20200921,파주,0.0,1,1,1,1,11,1,5,1,5,1,12,126.76891719,37.72905229
119,20200922,파주,0.0,1,1,1,2,23,23,5,1,5,3,03,126.75273045,37.75207842
120,20200922,수원,0.0,1,1,1,3,38,38,5,1,5,5,##,126.98760652,37.30528915
121,20200923,수원,0.0,1,1,1,1,12,2,5,1,2,3,12,126.92202165,37.14893735
122,20200926,파주,0.0,1,1,1,3,35,37,5,1,5,8,##,126.85467918,37.94503595
123,20200926,파주,0.0,1,1,1,2,23,23,5,1,5,5,10,126.90488979,37.61969296
124,20200928,파주,0.0,1,1,1,1,11,1,5,1,5,3,12,126.83366604,37.77369053
125,20200928,수원,0.0,1,2,1,3,31,32,5,2,6,1,##,126.82108932,37.08485292
126,20200929,파주,0.0,1,2,1,1,12,2,5,1,5,1,12,126.79565018,37.76169833
127,20201006,수원,0.0,1,2,1,3,32,34,5,5,98,10,##,126.97153976,37.09489435
128,20201007,수원,0.0,1,1,1,1,15,5,5,2,8,3,12,126.97683052,37.27591082
129,20201008,이천,0.0,1,2,4,2,23,23,5,2,6,1,01,127.11596946,37.27754367
130,20201008,이천,0.0,1,1,4,2,23,23,5,2,6,3,01,127.52139717,37.23342798
131,20201009,동두천,0.0,2,1,5,2,22,22,5,2,6,1,03,127.19131583,37.88485095
132,20201012,파주,0.0,1,1,1,2,21,21,3,1,5,2,08,126.76730787,37.75417085
133,20201013,수원,0.0,1,1,1,3,32,34,5,2,6,1,##,126.84430854,37.25602439
134,20201015,파주,0.0,1,1,1,1,13,3,5,5,98,1,12,126.81303541,37.72813693
135,20201015,동두천,0.0,1,1,1,1,13,3,99,1,5,3,12,127.31600638,37.9550979
136,20201017,파주,0.0,1,2,3,2,22,22,3,2,6,5,01,126.71102419,37.7254253
137,20201020,수원,0.0,1,2,1,1,15,5,5,1,5,1,12,127.03495149,37.28566311
138,20201023,파주,0.0,1,2,1,1,15,5,1,1,5,2,12,126.72932079,37.70855659
139,20201027,양평,0.0,1,2,1,1,12,2,99,1,5,1,12,127.35950621,37.63420654
140,20201030,수원,0.0,1,1,1,1,11,1,5,1,5,3,12,126.71077722,37.18829971
141,20201031,수원,0.0,1,2,1,1,15,5,2,1,5,1,12,126.96211285,37.27716089
142,20201102,이천,0.0,1,2,1,2,23,23,1,1,5,1,05,127.18209101,37.3396924
143,20201105,이천,0.0,1,1,1,1,12,2,5,1,5,1,12,127.29244767,37.2276503
144,20201108,파주,0.0,1,2,1,1,14,4,5,1,5,1,12,126.83320591,37.64140128
145,20201109,동두천,0.0,1,2,1,3,31,32,5,1,5,3,##,127.18175864,37.81982308
146,20201110,파주,0.0,1,2,1,3,31,32,5,1,5,1,##,126.6830941,37.69479778
147,20201111,이천,0.0,1,1,1,1,15,5,99,2,8,1,12,127.45325301,37.26289663
148,20201116,파주,0.0,1,1,1,2,24,25,5,1,5,4,08,126.88735638,37.67809959
149,20201120,동두천,0.0,1,1,1,3,31,32,5,1,5,5,##,127.06748995,37.90937306
150,20201123,이천,0.0,1,1,1,2,24,25,5,1,5,5,01,127.48035507,37.17128493
151,20201128,파주,0.0,1,1,1,2,24,25,5,1,5,3,08,126.87660959,37.94113445
152,20201129,파주,0.0,1,2,1,2,24,25,5,1,5,5,03,126.87117583,37.62407886
153,20201202,이천,0.0,1,2,1,2,24,25,2,1,5,8,01,127.47981864,37.28220314
154,20201209,파주,0.0,1,1,1,1,11,1,5,5,98,2,12,126.83028833,37.62675616
155,20201210,양평,0.0,1,1,2,2,21,21,2,1,5,3,10,127.34710148,37.59264797
156,20201226,이천,0.0,2,1,2,3,31,32,5,1,5,1,##,127.43420235,37.27843675
157,20201227,이천,0.0,1,1,1,1,11,1,5,1,5,3,12,127.39454893,37.21613001
158,20201228,이천,0.0,1,2,1,1,11,1,5,1,5,3,12,127.10853055,37.25461482
159,20201228,파주,0.0,1,1,2,1,15,5,2,1,5,1,12,126.71546258,37.70698703
160,20201228,이천,0.0,1,1,2,1,15,5,99,2,8,1,12,127.06336196,37.32004216
161,20201229,동두천,0.0,1,1,1,2,21,21,2,1,5,5,01,127.35472485,37.99291626
162,20201231,이천,0.0,1,1,1,2,24,25,3,2,6,5,10,127.2954645,37.15402819
