tm,stnNm,sumRn
2016-01-01,백령도,
2016-01-02,백령도,
2016-01-03,백령도,
2016-01-04,백령도,
2016-01-05,백령도,
2016-01-06,백령도,
2016-01-07,백령도,0.0
2016-01-08,백령도,0.0
2016-01-09,백령도,
2016-01-10,백령도,
2016-01-11,백령도,
2016-01-12,백령도,0.0
2016-01-13,백령도,0.0
2016-01-14,백령도,3.1
2016-01-15,백령도,
2016-01-16,백령도,
2016-01-17,백령도,0.0
2016-01-18,백령도,0.0
2016-01-19,백령도,0.2
2016-01-20,백령도,0.0
2016-01-21,백령도,
2016-01-22,백령도,0.0
2016-01-23,백령도,0.4
2016-01-24,백령도,2.0
2016-01-25,백령도,0.0
2016-01-26,백령도,0.0
2016-01-27,백령도,
2016-01-28,백령도,
2016-01-29,백령도,
2016-01-30,백령도,
2016-01-31,백령도,
2016-02-01,백령도,
2016-02-02,백령도,
2016-02-03,백령도,
2016-02-04,백령도,
2016-02-05,백령도,
2016-02-06,백령도,
2016-02-07,백령도,
2016-02-08,백령도,
2016-02-09,백령도,
2016-02-10,백령도,
2016-02-11,백령도,27.6
2016-02-12,백령도,12.2
2016-02-13,백령도,24.2
2016-02-14,백령도,0.0
2016-02-15,백령도,0.3
2016-02-16,백령도,0.1
2016-02-17,백령도,
2016-02-18,백령도,
2016-02-19,백령도,
2016-02-20,백령도,
2016-02-21,백령도,
2016-02-22,백령도,1.9
2016-02-23,백령도,
2016-02-24,백령도,0.2
2016-02-25,백령도,
2016-02-26,백령도,
2016-02-27,백령도,
2016-02-28,백령도,
2016-02-29,백령도,0.0
2016-03-01,백령도,
2016-03-02,백령도,
2016-03-03,백령도,
2016-03-04,백령도,
2016-03-05,백령도,35.3
2016-03-06,백령도,
2016-03-07,백령도,0.0
2016-03-08,백령도,
2016-03-09,백령도,
2016-03-10,백령도,0.0
2016-03-11,백령도,
2016-03-12,백령도,
2016-03-13,백령도,0.0
2016-03-14,백령도,
2016-03-15,백령도,
2016-03-16,백령도,
2016-03-17,백령도,
2016-03-18,백령도,
2016-03-19,백령도,
2016-03-20,백령도,
2016-03-21,백령도,
2016-03-22,백령도,
2016-03-23,백령도,
2016-03-24,백령도,
2016-03-25,백령도,
2016-03-26,백령도,
2016-03-27,백령도,
2016-03-28,백령도,
2016-03-29,백령도,
2016-03-30,백령도,
2016-03-31,백령도,
2016-04-01,백령도,
2016-04-02,백령도,0.0
2016-04-03,백령도,0.1
2016-04-04,백령도,
2016-04-05,백령도,
2016-04-06,백령도,
2016-04-07,백령도,
2016-04-08,백령도,
2016-04-09,백령도,
2016-04-10,백령도,
2016-04-11,백령도,
2016-04-12,백령도,0.0
2016-04-13,백령도,
2016-04-14,백령도,
2016-04-15,백령도,
2016-04-16,백령도,47.6
2016-04-17,백령도,7.6
2016-04-18,백령도,3.8
2016-04-19,백령도,
2016-04-20,백령도,3.9
2016-04-21,백령도,1.8
2016-04-22,백령도,
2016-04-23,백령도,
2016-04-24,백령도,
2016-04-25,백령도,
2016-04-26,백령도,
2016-04-27,백령도,
2016-04-28,백령도,
2016-04-29,백령도,
2016-04-30,백령도,
2016-05-01,백령도,
2016-05-02,백령도,22.0
2016-05-03,백령도,30.5
2016-05-04,백령도,
2016-05-05,백령도,20.0
2016-05-06,백령도,8.7
2016-05-07,백령도,
2016-05-08,백령도,
2016-05-09,백령도,0.2
2016-05-10,백령도,0.5
2016-05-11,백령도,
2016-05-12,백령도,
2016-05-13,백령도,
2016-05-14,백령도,
2016-05-15,백령도,23.0
2016-05-16,백령도,
2016-05-17,백령도,
2016-05-18,백령도,
2016-05-19,백령도,
2016-05-20,백령도,
2016-05-21,백령도,
2016-05-22,백령도,
2016-05-23,백령도,16.1
2016-05-24,백령도,7.0
2016-05-25,백령도,
2016-05-26,백령도,0.0
2016-05-27,백령도,
2016-05-28,백령도,
2016-05-29,백령도,
2016-05-30,백령도,
2016-05-31,백령도,
2016-06-01,백령도,
2016-06-02,백령도,
2016-06-03,백령도,
2016-06-04,백령도,0.0
2016-06-05,백령도,
2016-06-06,백령도,0.0
2016-06-07,백령도,
2016-06-08,백령도,
2016-06-09,백령도,
2016-06-10,백령도,
2016-06-11,백령도,0.0
2016-06-12,백령도,0.0
2016-06-13,백령도,
2016-06-14,백령도,0.6
2016-06-15,백령도,21.5
2016-06-16,백령도,
2016-06-17,백령도,
2016-06-18,백령도,
2016-06-19,백령도,0.2
2016-06-20,백령도,
2016-06-21,백령도,
2016-06-22,백령도,1.1
2016-06-23,백령도,1.2
2016-06-24,백령도,0.4
2016-06-25,백령도,
2016-06-26,백령도,
2016-06-27,백령도,
2016-06-28,백령도,
2016-06-29,백령도,0.2
2016-06-30,백령도,0.0
2016-07-01,백령도,16.4
2016-07-02,백령도,
2016-07-03,백령도,
2016-07-04,백령도,9.3
2016-07-05,백령도,17.5
2016-07-06,백령도,
2016-07-07,백령도,
2016-07-08,백령도,
2016-07-09,백령도,
2016-07-10,백령도,
2016-07-11,백령도,
2016-07-12,백령도,
2016-07-13,백령도,0.4
2016-07-14,백령도,
2016-07-15,백령도,13.0
2016-07-16,백령도,52.7
2016-07-17,백령도,
2016-07-18,백령도,
2016-07-19,백령도,
2016-07-20,백령도,
2016-07-21,백령도,0.0
2016-07-22,백령도,
2016-07-23,백령도,0.0
2016-07-24,백령도,49.0
2016-07-25,백령도,0.5
2016-07-26,백령도,12.0
2016-07-27,백령도,3.6
2016-07-28,백령도,
2016-07-29,백령도,2.3
2016-07-30,백령도,0.0
2016-07-31,백령도,0.7
2016-08-01,백령도,3.1
2016-08-02,백령도,21.5
2016-08-03,백령도,0.0
2016-08-04,백령도,
2016-08-05,백령도,
2016-08-06,백령도,
2016-08-07,백령도,
2016-08-08,백령도,0.0
2016-08-09,백령도,
2016-08-10,백령도,
2016-08-11,백령도,
2016-08-12,백령도,
2016-08-13,백령도,
2016-08-14,백령도,8.9
2016-08-15,백령도,0.0
2016-08-16,백령도,
2016-08-17,백령도,
2016-08-18,백령도,0.0
2016-08-19,백령도,0.2
2016-08-20,백령도,20.0
2016-08-21,백령도,
2016-08-22,백령도,
2016-08-23,백령도,
2016-08-24,백령도,
2016-08-25,백령도,0.1
2016-08-26,백령도,
2016-08-27,백령도,
2016-08-28,백령도,
2016-08-29,백령도,
2016-08-30,백령도,0.0
2016-08-31,백령도,0.6
2016-09-01,백령도,17.9
2016-09-02,백령도,8.6
2016-09-03,백령도,
2016-09-04,백령도,
2016-09-05,백령도,0.0
2016-09-06,백령도,
2016-09-07,백령도,
2016-09-08,백령도,0.0
2016-09-09,백령도,
2016-09-10,백령도,0.7
2016-09-11,백령도,1.2
2016-09-12,백령도,
2016-09-13,백령도,
2016-09-14,백령도,
2016-09-15,백령도,
2016-09-16,백령도,
2016-09-17,백령도,
2016-09-18,백령도,
2016-09-19,백령도,
2016-09-20,백령도,
2016-09-21,백령도,
2016-09-22,백령도,
2016-09-23,백령도,
2016-09-24,백령도,
2016-09-25,백령도,
2016-09-26,백령도,0.0
2016-09-27,백령도,2.3
2016-09-28,백령도,0.0
2016-09-29,백령도,
2016-09-30,백령도,
2016-10-01,백령도,
2016-10-02,백령도,46.0
2016-10-03,백령도,
2016-10-04,백령도,
2016-10-05,백령도,
2016-10-06,백령도,
2016-10-07,백령도,3.1
2016-10-08,백령도,2.8
2016-10-09,백령도,
2016-10-10,백령도,
2016-10-11,백령도,
2016-10-12,백령도,
2016-10-13,백령도,
2016-10-14,백령도,
2016-10-15,백령도,
2016-10-16,백령도,0.0
2016-10-17,백령도,0.0
2016-10-18,백령도,
2016-10-19,백령도,
2016-10-20,백령도,
2016-10-21,백령도,0.0
2016-10-22,백령도,0.7
2016-10-23,백령도,0.0
2016-10-24,백령도,6.5
2016-10-25,백령도,31.6
2016-10-26,백령도,
2016-10-27,백령도,
2016-10-28,백령도,0.0
2016-10-29,백령도,
2016-10-30,백령도,
2016-10-31,백령도,0.0
2016-11-01,백령도,
2016-11-02,백령도,2.9
2016-11-03,백령도,0.2
2016-11-04,백령도,
2016-11-05,백령도,
2016-11-06,백령도,
2016-11-07,백령도,2.3
2016-11-08,백령도,
2016-11-09,백령도,
2016-11-10,백령도,6.9
2016-11-11,백령도,
2016-11-12,백령도,
2016-11-13,백령도,
2016-11-14,백령도,
2016-11-15,백령도,
2016-11-16,백령도,
2016-11-17,백령도,
2016-11-18,백령도,0.2
2016-11-19,백령도,0.0
2016-11-20,백령도,
2016-11-21,백령도,0.0
2016-11-22,백령도,0.0
2016-11-23,백령도,0.0
