tm,stnNm,sumRn
2016-01-01,颇林,
2016-01-02,颇林,
2016-01-03,颇林,
2016-01-04,颇林,
2016-01-05,颇林,
2016-01-06,颇林,
2016-01-07,颇林,
2016-01-08,颇林,
2016-01-09,颇林,
2016-01-10,颇林,
2016-01-11,颇林,
2016-01-12,颇林,
2016-01-13,颇林,
2016-01-14,颇林,
2016-01-15,颇林,
2016-01-16,颇林,0.3
2016-01-17,颇林,
2016-01-18,颇林,0.4
2016-01-19,颇林,
2016-01-20,颇林,
2016-01-21,颇林,
2016-01-22,颇林,
2016-01-23,颇林,
2016-01-24,颇林,
2016-01-25,颇林,
2016-01-26,颇林,0.3
2016-01-27,颇林,
2016-01-28,颇林,
2016-01-29,颇林,
2016-01-30,颇林,
2016-01-31,颇林,
2016-02-01,颇林,
2016-02-02,颇林,
2016-02-03,颇林,
2016-02-04,颇林,
2016-02-05,颇林,
2016-02-06,颇林,
2016-02-07,颇林,
2016-02-08,颇林,
2016-02-09,颇林,
2016-02-10,颇林,
2016-02-11,颇林,0.8
2016-02-12,颇林,21.1
2016-02-13,颇林,40.0
2016-02-14,颇林,0.4
2016-02-15,颇林,
2016-02-16,颇林,1.7
2016-02-17,颇林,
2016-02-18,颇林,
2016-02-19,颇林,
2016-02-20,颇林,
2016-02-21,颇林,
2016-02-22,颇林,0.2
2016-02-23,颇林,0.1
2016-02-24,颇林,
2016-02-25,颇林,
2016-02-26,颇林,
2016-02-27,颇林,
2016-02-28,颇林,1.6
2016-02-29,颇林,
2016-03-01,颇林,
2016-03-02,颇林,
2016-03-03,颇林,
2016-03-04,颇林,
2016-03-05,颇林,56.2
2016-03-06,颇林,
2016-03-07,颇林,
2016-03-08,颇林,
2016-03-09,颇林,
2016-03-10,颇林,
2016-03-11,颇林,
2016-03-12,颇林,
2016-03-13,颇林,1.2
2016-03-14,颇林,
2016-03-15,颇林,
2016-03-16,颇林,
2016-03-17,颇林,
2016-03-18,颇林,
2016-03-19,颇林,
2016-03-20,颇林,
2016-03-21,颇林,
2016-03-22,颇林,
2016-03-23,颇林,
2016-03-24,颇林,
2016-03-25,颇林,
2016-03-26,颇林,
2016-03-27,颇林,
2016-03-28,颇林,
2016-03-29,颇林,0.0
2016-03-30,颇林,
2016-03-31,颇林,
2016-04-01,颇林,
2016-04-02,颇林,
2016-04-03,颇林,0.0
2016-04-04,颇林,
2016-04-05,颇林,
2016-04-06,颇林,0.0
2016-04-07,颇林,5.0
2016-04-08,颇林,
2016-04-09,颇林,0.1
2016-04-10,颇林,
2016-04-11,颇林,
2016-04-12,颇林,
2016-04-13,颇林,0.1
2016-04-14,颇林,
2016-04-15,颇林,
2016-04-16,颇林,31.9
2016-04-17,颇林,28.6
2016-04-18,颇林,3.4
2016-04-19,颇林,
2016-04-20,颇林,0.9
2016-04-21,颇林,19.3
2016-04-22,颇林,
2016-04-23,颇林,
2016-04-24,颇林,
2016-04-25,颇林,
2016-04-26,颇林,
2016-04-27,颇林,
2016-04-28,颇林,
2016-04-29,颇林,
2016-04-30,颇林,
2016-05-01,颇林,
2016-05-02,颇林,15.1
2016-05-03,颇林,34.7
2016-05-04,颇林,0.0
2016-05-05,颇林,17.3
2016-05-06,颇林,9.5
2016-05-07,颇林,
2016-05-08,颇林,
2016-05-09,颇林,
2016-05-10,颇林,9.7
2016-05-11,颇林,
2016-05-12,颇林,
2016-05-13,颇林,
2016-05-14,颇林,
2016-05-15,颇林,39.0
2016-05-16,颇林,0.5
2016-05-17,颇林,
2016-05-18,颇林,
2016-05-19,颇林,
2016-05-20,颇林,
2016-05-21,颇林,
2016-05-22,颇林,
2016-05-23,颇林,0.0
2016-05-24,颇林,31.3
2016-05-25,颇林,
2016-05-26,颇林,0.6
2016-05-27,颇林,
2016-05-28,颇林,
2016-05-29,颇林,
2016-05-30,颇林,
2016-05-31,颇林,
2016-06-01,颇林,
2016-06-02,颇林,
2016-06-03,颇林,
2016-06-04,颇林,
2016-06-05,颇林,
2016-06-06,颇林,
2016-06-07,颇林,0.3
2016-06-08,颇林,
2016-06-09,颇林,
2016-06-10,颇林,
2016-06-11,颇林,10.1
2016-06-12,颇林,0.3
2016-06-13,颇林,
2016-06-14,颇林,0.2
2016-06-15,颇林,15.3
2016-06-16,颇林,
2016-06-17,颇林,
2016-06-18,颇林,
2016-06-19,颇林,
2016-06-20,颇林,
2016-06-21,颇林,
2016-06-22,颇林,0.5
2016-06-23,颇林,0.3
2016-06-24,颇林,1.3
2016-06-25,颇林,0.0
2016-06-26,颇林,
2016-06-27,颇林,
2016-06-28,颇林,
2016-06-29,颇林,
2016-06-30,颇林,0.3
2016-07-01,颇林,83.2
2016-07-02,颇林,0.2
2016-07-03,颇林,
2016-07-04,颇林,34.2
2016-07-05,颇林,164.6
2016-07-06,颇林,
2016-07-07,颇林,
2016-07-08,颇林,
2016-07-09,颇林,
2016-07-10,颇林,
2016-07-11,颇林,
2016-07-12,颇林,0.1
2016-07-13,颇林,
2016-07-14,颇林,
2016-07-15,颇林,2.3
2016-07-16,颇林,36.5
2016-07-17,颇林,10.2
2016-07-18,颇林,1.1
2016-07-19,颇林,
2016-07-20,颇林,
2016-07-21,颇林,
2016-07-22,颇林,
2016-07-23,颇林,3.9
2016-07-24,颇林,4.6
2016-07-25,颇林,
2016-07-26,颇林,0.0
2016-07-27,颇林,9.7
2016-07-28,颇林,13.1
2016-07-29,颇林,11.3
2016-07-30,颇林,2.9
2016-07-31,颇林,
2016-08-01,颇林,
2016-08-02,颇林,3.6
2016-08-03,颇林,
2016-08-04,颇林,
2016-08-05,颇林,
2016-08-06,颇林,
2016-08-07,颇林,
2016-08-08,颇林,
2016-08-09,颇林,
2016-08-10,颇林,
2016-08-11,颇林,
2016-08-12,颇林,
2016-08-13,颇林,
2016-08-14,颇林,2.8
2016-08-15,颇林,
2016-08-16,颇林,
2016-08-17,颇林,
2016-08-18,颇林,
2016-08-19,颇林,0.2
2016-08-20,颇林,
2016-08-21,颇林,0.6
2016-08-22,颇林,
2016-08-23,颇林,
2016-08-24,颇林,
2016-08-25,颇林,12.3
2016-08-26,颇林,4.6
2016-08-27,颇林,
2016-08-28,颇林,
2016-08-29,颇林,
2016-08-30,颇林,0.1
2016-08-31,颇林,7.7
2016-09-01,颇林,
2016-09-02,颇林,5.9
2016-09-03,颇林,0.0
2016-09-04,颇林,
2016-09-05,颇林,
2016-09-06,颇林,
2016-09-07,颇林,
2016-09-08,颇林,0.7
2016-09-09,颇林,
2016-09-10,颇林,
2016-09-11,颇林,0.0
2016-09-12,颇林,
2016-09-13,颇林,
2016-09-14,颇林,
2016-09-15,颇林,
2016-09-16,颇林,
2016-09-17,颇林,0.1
2016-09-18,颇林,
2016-09-19,颇林,
2016-09-20,颇林,
2016-09-21,颇林,
2016-09-22,颇林,
2016-09-23,颇林,
2016-09-24,颇林,
2016-09-25,颇林,
2016-09-26,颇林,
2016-09-27,颇林,19.6
2016-09-28,颇林,0.1
2016-09-29,颇林,
2016-09-30,颇林,
2016-10-01,颇林,
2016-10-02,颇林,111.3
2016-10-03,颇林,95.4
2016-10-04,颇林,
2016-10-05,颇林,
2016-10-06,颇林,
2016-10-07,颇林,0.1
2016-10-08,颇林,2.8
2016-10-09,颇林,
2016-10-10,颇林,
2016-10-11,颇林,
2016-10-12,颇林,
2016-10-13,颇林,
2016-10-14,颇林,
2016-10-15,颇林,
2016-10-16,颇林,0.9
2016-10-17,颇林,
2016-10-18,颇林,
2016-10-19,颇林,
2016-10-20,颇林,
2016-10-21,颇林,
2016-10-22,颇林,0.0
2016-10-23,颇林,1.2
2016-10-24,颇林,0.0
2016-10-25,颇林,36.6
2016-10-26,颇林,
2016-10-27,颇林,
2016-10-28,颇林,0.9
2016-10-29,颇林,
2016-10-30,颇林,
2016-10-31,颇林,0.7
2016-11-01,颇林,
2016-11-02,颇林,0.8
2016-11-03,颇林,3.3
2016-11-04,颇林,
2016-11-05,颇林,
2016-11-06,颇林,
2016-11-07,颇林,2.3
2016-11-08,颇林,0.0
2016-11-09,颇林,
2016-11-10,颇林,
2016-11-11,颇林,2.0
2016-11-12,颇林,
2016-11-13,颇林,0.0
2016-11-14,颇林,3.7
2016-11-15,颇林,
2016-11-16,颇林,
2016-11-17,颇林,
2016-11-18,颇林,
2016-11-19,颇林,0.2
2016-11-20,颇林,
2016-11-21,颇林,
2016-11-22,颇林,0.1
2016-11-23,颇林,
2016-11-24,颇林,
2016-11-25,颇林,
2016-11-26,颇林,2.5
2016-11-27,颇林,0.0
2016-11-28,颇林,
2016-11-29,颇林,
2016-11-30,颇林,0.9
2016-12-01,颇林,0.0
2016-12-02,颇林,
2016-12-03,颇林,
2016-12-04,颇林,
