tm,stnNm,sumRn
2016-01-01,수원,
2016-01-02,수원,
2016-01-03,수원,
2016-01-04,수원,
2016-01-05,수원,
2016-01-06,수원,
2016-01-07,수원,
2016-01-08,수원,
2016-01-09,수원,0.0
2016-01-10,수원,0.0
2016-01-11,수원,
2016-01-12,수원,
2016-01-13,수원,2.7
2016-01-14,수원,0.8
2016-01-15,수원,0.2
2016-01-16,수원,0.2
2016-01-17,수원,
2016-01-18,수원,0.0
2016-01-19,수원,
2016-01-20,수원,
2016-01-21,수원,
2016-01-22,수원,
2016-01-23,수원,0.0
2016-01-24,수원,
2016-01-25,수원,0.0
2016-01-26,수원,0.7
2016-01-27,수원,
2016-01-28,수원,
2016-01-29,수원,
2016-01-30,수원,
2016-01-31,수원,
2016-02-01,수원,
2016-02-02,수원,
2016-02-03,수원,
2016-02-04,수원,
2016-02-05,수원,0.0
2016-02-06,수원,0.3
2016-02-07,수원,
2016-02-08,수원,0.0
2016-02-09,수원,
2016-02-10,수원,
2016-02-11,수원,0.2
2016-02-12,수원,27.4
2016-02-13,수원,14.3
2016-02-14,수원,0.0
2016-02-15,수원,0.1
2016-02-16,수원,0.5
2016-02-17,수원,
2016-02-18,수원,
2016-02-19,수원,
2016-02-20,수원,
2016-02-21,수원,
2016-02-22,수원,0.1
2016-02-23,수원,0.3
2016-02-24,수원,
2016-02-25,수원,0.0
2016-02-26,수원,1.1
2016-02-27,수원,5.3
2016-02-28,수원,3.0
2016-02-29,수원,0.0
2016-03-01,수원,
2016-03-02,수원,
2016-03-03,수원,
2016-03-04,수원,3.6
2016-03-05,수원,51.2
2016-03-06,수원,0.0
2016-03-07,수원,0.0
2016-03-08,수원,
2016-03-09,수원,
2016-03-10,수원,
2016-03-11,수원,
2016-03-12,수원,
2016-03-13,수원,0.0
2016-03-14,수원,
2016-03-15,수원,
2016-03-16,수원,
2016-03-17,수원,
2016-03-18,수원,
2016-03-19,수원,
2016-03-20,수원,
2016-03-21,수원,
2016-03-22,수원,
2016-03-23,수원,
2016-03-24,수원,
2016-03-25,수원,
2016-03-26,수원,
2016-03-27,수원,
2016-03-28,수원,
2016-03-29,수원,0.0
2016-03-30,수원,
2016-03-31,수원,
2016-04-01,수원,
2016-04-02,수원,
2016-04-03,수원,0.3
2016-04-04,수원,
2016-04-05,수원,
2016-04-06,수원,4.2
2016-04-07,수원,7.9
2016-04-08,수원,
2016-04-09,수원,
2016-04-10,수원,0.0
2016-04-11,수원,
2016-04-12,수원,
2016-04-13,수원,3.8
2016-04-14,수원,
2016-04-15,수원,
