tm,stnNm,sumRn
2016-09-24,인천,
2016-09-25,인천,
2016-09-26,인천,
2016-09-27,인천,10.5
2016-09-28,인천,0.1
2016-09-29,인천,
2016-09-30,인천,
2016-10-01,인천,
2016-10-02,인천,22.5
2016-10-03,인천,9.4
2016-10-04,인천,
2016-10-05,인천,0.0
2016-10-06,인천,
2016-10-07,인천,2.7
2016-10-08,인천,6.1
2016-10-09,인천,
2016-10-10,인천,
2016-10-11,인천,
2016-10-12,인천,
2016-10-13,인천,
2016-10-14,인천,
2016-10-15,인천,
2016-10-16,인천,1.5
2016-10-17,인천,
2016-10-18,인천,
2016-10-19,인천,
2016-10-20,인천,
2016-10-21,인천,
2016-10-22,인천,
2016-10-23,인천,2.7
2016-10-24,인천,0.0
2016-10-25,인천,32.4
2016-10-26,인천,
2016-10-27,인천,
2016-10-28,인천,0.5
2016-10-29,인천,
2016-10-30,인천,
2016-10-31,인천,0.9
2016-11-01,인천,
2016-11-02,인천,0.9
2016-11-03,인천,0.0
2016-11-04,인천,
2016-11-05,인천,
2016-11-06,인천,0.1
2016-11-07,인천,2.2
2016-11-08,인천,0.1
2016-11-09,인천,
2016-11-10,인천,0.0
2016-11-11,인천,6.9
2016-11-12,인천,
2016-11-13,인천,1.1
2016-11-14,인천,3.1
2016-11-15,인천,
2016-11-16,인천,
2016-11-17,인천,
2016-11-18,인천,0.0
2016-11-19,인천,0.2
2016-11-20,인천,
2016-11-21,인천,
2016-11-22,인천,0.0
2016-11-23,인천,
2016-11-24,인천,
2016-11-25,인천,
2016-11-26,인천,2.7
2016-11-27,인천,0.2
2016-11-28,인천,
2016-11-29,인천,
2016-11-30,인천,0.7
2016-12-01,인천,0.0
2016-12-02,인천,
2016-12-03,인천,
2016-12-04,인천,
2016-12-05,인천,1.2
2016-12-06,인천,
2016-12-07,인천,0.4
2016-12-08,인천,9.9
2016-12-09,인천,0.6
2016-12-10,인천,
2016-12-11,인천,
2016-12-12,인천,
2016-12-13,인천,
2016-12-14,인천,
2016-12-15,인천,
2016-12-16,인천,
2016-12-17,인천,0.0
2016-12-18,인천,
2016-12-19,인천,0.8
2016-12-20,인천,
2016-12-21,인천,33.0
2016-12-22,인천,19.9
2016-12-23,인천,0.1
2016-12-24,인천,
2016-12-25,인천,
2016-12-26,인천,0.0
2016-12-27,인천,0.0
2016-12-28,인천,
2016-12-29,인천,1.2
2016-12-30,인천,
2016-12-31,인천,
