tm,stnNm,sumRn
2016-01-01,양평,
2016-01-02,양평,
2016-01-03,양평,
2016-01-04,양평,
2016-01-05,양평,
2016-01-06,양평,
2016-01-07,양평,
2016-01-08,양평,
2016-01-09,양평,
2016-01-10,양평,
2016-01-11,양평,
2016-01-12,양평,
2016-01-13,양평,0.4
2016-01-14,양평,
2016-01-15,양평,
2016-01-16,양평,
2016-01-17,양평,
2016-01-18,양평,
2016-01-19,양평,
2016-01-20,양평,
2016-01-21,양평,
2016-01-22,양평,
2016-01-23,양평,
2016-01-24,양평,
2016-01-25,양평,
2016-01-26,양평,
2016-01-27,양평,
2016-01-28,양평,
2016-01-29,양평,
2016-01-30,양평,
2016-01-31,양평,
2016-02-01,양평,
2016-02-02,양평,
2016-02-03,양평,
2016-02-04,양평,
2016-02-05,양평,
2016-02-06,양평,
2016-02-07,양평,
2016-02-08,양평,0.3
2016-02-09,양평,
2016-02-10,양평,
2016-02-11,양평,
2016-02-12,양평,17.0
2016-02-13,양평,5.5
2016-02-14,양평,0.2
2016-02-15,양평,
2016-02-16,양평,0.4
2016-02-17,양평,
2016-02-18,양평,
2016-02-19,양평,
2016-02-20,양평,
2016-02-21,양평,
2016-02-22,양평,
2016-02-23,양평,0.1
2016-02-24,양평,
2016-02-25,양평,
2016-02-26,양평,
2016-02-27,양평,0.5
2016-02-28,양평,1.0
2016-02-29,양평,
2016-03-01,양평,
2016-03-02,양평,
2016-03-03,양평,
2016-03-04,양평,
2016-03-05,양평,24.5
2016-03-06,양평,
2016-03-07,양평,
2016-03-08,양평,
2016-03-09,양평,
2016-03-10,양평,
2016-03-11,양평,
2016-03-12,양평,
2016-03-13,양평,
2016-03-14,양평,
2016-03-15,양평,
2016-03-16,양평,
2016-03-17,양평,
2016-03-18,양평,
2016-03-19,양평,
2016-03-20,양평,
2016-03-21,양평,
2016-03-22,양평,
2016-03-23,양평,
2016-03-24,양평,
2016-03-25,양평,
2016-03-26,양평,
2016-03-27,양평,
2016-03-28,양평,
2016-03-29,양평,
2016-03-30,양평,
2016-03-31,양평,
2016-04-01,양평,
2016-04-02,양평,
2016-04-03,양평,0.0
2016-04-04,양평,
2016-04-05,양평,
2016-04-06,양평,
2016-04-07,양평,
2016-04-08,양평,
2016-04-09,양평,
2016-04-10,양평,
2016-04-11,양평,
2016-04-12,양평,
2016-04-13,양평,2.5
2016-04-14,양평,
2016-04-15,양평,
2016-04-16,양평,29.5
2016-04-17,양평,13.5
2016-04-18,양평,6.0
2016-04-19,양평,
2016-04-20,양평,0.2
2016-04-21,양평,20.0
2016-04-22,양평,
2016-04-23,양평,
2016-04-24,양평,
2016-04-25,양평,
2016-04-26,양평,
2016-04-27,양평,
2016-04-28,양평,
2016-04-29,양평,
2016-04-30,양평,
2016-05-01,양평,
2016-05-02,양평,13.0
2016-05-03,양평,37.0
2016-05-04,양평,0.3
2016-05-05,양평,5.0
2016-05-06,양평,2.0
2016-05-07,양평,
2016-05-08,양평,
2016-05-09,양평,
2016-05-10,양평,13.0
2016-05-11,양평,
2016-05-12,양평,
2016-05-13,양평,0.1
2016-05-14,양평,
2016-05-15,양평,20.0
2016-05-16,양평,4.5
2016-05-17,양평,
2016-05-18,양평,
2016-05-19,양평,
2016-05-20,양평,
2016-05-21,양평,
2016-05-22,양평,
2016-05-23,양평,
2016-05-24,양평,29.5
2016-05-25,양평,
2016-05-26,양평,
2016-05-27,양평,
2016-05-28,양평,
2016-05-29,양평,
2016-05-30,양평,
2016-05-31,양평,
2016-06-01,양평,
2016-06-02,양평,
2016-06-03,양평,
2016-06-04,양평,
2016-06-05,양평,
2016-06-06,양평,
2016-06-07,양평,
2016-06-08,양평,
2016-06-09,양평,
2016-06-10,양평,
2016-06-11,양평,
2016-06-12,양평,1.0
2016-06-13,양평,
2016-06-14,양평,
2016-06-15,양평,21.0
2016-06-16,양평,
2016-06-17,양평,
2016-06-18,양평,
2016-06-19,양평,
2016-06-20,양평,
2016-06-21,양평,
2016-06-22,양평,2.0
2016-06-23,양평,3.0
2016-06-24,양평,10.5
2016-06-25,양평,
2016-06-26,양평,
2016-06-27,양평,
2016-06-28,양평,
2016-06-29,양평,
2016-06-30,양평,
2016-07-01,양평,125.0
2016-07-02,양평,4.0
2016-07-03,양평,
2016-07-04,양평,77.0
2016-07-05,양평,54.5
2016-07-06,양평,3.5
2016-07-07,양평,
2016-07-08,양평,
2016-07-09,양평,
2016-07-10,양평,
2016-07-11,양평,
2016-07-12,양평,19.0
2016-07-13,양평,
