occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2016010104,1,2,1,02,23,Z1,05 ,01,05,01,03,03,127.02299112,37.23058533
2016011306,1,1,1,02,23,Z1,05 ,01,05,03,03,03,126.95062952,37.28962845
2016020321,1,2,1,02,23,Z1,05 ,01,05,03,03,03,126.98211985,37.32047164
2016020410,1,1,1,01,15,05,05 ,01,05,03,12,12,127.024097,37.29313756
2016020619,1,2,1,01,15,05,05 ,01,05,01,12,12,127.00331302,37.30201197
2016021901,1,2,1,01,11,01,01 ,01,05,01,12,12,127.07294999,37.24712741
2016022220,1,2,1,01,12,02,05 ,01,05,02,12,12,127.05979035,37.27057862
2016022511,1,1,1,01,11,01,05 ,02,08,03,12,12,127.01740476,37.24217271
2016030904,1,2,1,01,11,01,05 ,01,05,01,12,12,127.01878062,37.27048212
2016031722,1,2,1,01,11,01,05 ,01,05,01,12,12,126.98073255,37.29572252
2016040719,1,2,1,01,12,02,05 ,01,05,01,12,12,127.0504363,37.29965843
2016041120,1,2,1,02,24,25,05 ,01,05,01,08,08,127.01540921,37.31957606
2016042720,1,2,1,01,11,01,05 ,01,05,01,12,12,127.01557977,37.29475255
2016043005,1,2,1,02,24,25,03 ,02,06,01,01,01,126.96999105,37.29095163
2016051221,1,2,1,01,15,05,07 ,01,05,01,12,12,127.01383073,37.27550068
2016051519,1,2,1,02,24,25,01 ,02,08,01,05,05,126.98184546,37.29467277
2016052402,1,2,1,01,11,01,05 ,01,05,01,12,12,127.01367605,37.24693486
2016061502,1,2,1,01,11,01,05 ,01,05,01,12,12,127.05817714,37.23780683
2016062103,1,2,1,03,31,32,05 ,01,05,05,##,##,127.07819483,37.28927744
2016062502,1,2,1,01,11,01,05 ,01,05,01,12,12,127.00181949,37.30605292
2016071621,1,2,1,01,11,01,05 ,Z3,Z3,01,12,12,127.01648534,37.28194749
2016072216,1,1,2,02,24,25,99 ,01,05,03,01,01,127.03821554,37.2739668
2016072303,1,2,2,01,11,01,01 ,01,Z1,05,12,12,127.0119854,37.29925374
2016072421,1,2,1,01,11,01,05 ,01,05,01,12,12,127.00792553,37.29719979
2016072715,1,1,2,02,24,25,05 ,02,06,01,03,03,126.9836594,37.23392682
2016073110,1,1,1,02,22,22,06 ,02,08,08,01,01,127.00940398,37.29540315
2016080403,1,2,1,03,31,32,05 ,01,05,05,##,##,127.0176447,37.25052062
2016081301,1,2,2,03,34,31,05 ,01,05,07,##,##,127.05056298,37.2650815
2016081322,1,2,1,01,11,01,01 ,02,08,01,12,12,126.98212076,37.25119986
2016081908,1,1,1,02,22,22,04 ,01,05,02,05,05,127.00200264,37.26457171
2016082305,1,2,1,01,11,01,05 ,Z3,Z3,01,12,12,127.00347942,37.29042982
2016090122,1,2,1,01,11,01,05 ,01,Z1,07,12,12,127.02117488,37.27533231
2016091005,1,2,1,02,22,22,05 ,02,06,08,01,01,127.01850406,37.25014553
2016091709,1,1,1,02,24,25,03 ,01,05,02,08,08,127.01658762,37.27653956
2016092001,1,2,1,02,23,Z1,05 ,01,05,01,03,03,126.96009262,37.2662629
2016092209,1,1,1,01,15,05,05 ,01,05,01,12,12,126.96988288,37.29672003
2016092806,1,1,1,01,11,01,05 ,01,Z1,01,12,12,126.99835931,37.2969433
2016092901,1,2,2,03,31,32,05 ,01,04,05,##,##,126.96932735,37.28392864
2016092911,1,1,1,01,11,01,07 ,02,06,02,12,12,127.0447707,37.2643022
2016100918,1,2,1,01,11,01,05 ,02,06,05,12,12,126.98113373,37.27509147
2016101008,1,1,1,01,11,01,07 ,02,06,03,12,12,127.01825983,37.28318062
2016102501,1,2,1,01,12,02,05 ,01,05,01,12,12,127.02181064,37.29073065
2016102903,1,2,1,01,11,01,05 ,01,Z1,01,12,12,127.02175882,37.25612597
2016111004,1,2,1,01,11,01,05 ,02,06,01,12,12,127.02899528,37.29177172
2016120121,1,2,1,03,34,31,05 ,01,04,01,##,##,126.99401493,37.27005436
2016121110,1,1,3,02,24,25,05 ,02,06,01,01,01,126.98883256,37.29753351
2016122401,1,2,1,01,11,01,05 ,01,05,02,12,12,127.03238112,37.26349674
2016122521,1,2,1,01,11,01,05 ,01,05,01,12,12,127.00225544,37.26386067
