occrrnc_dt,dth_dnv_cnt,dght_cd,injpsn_cnt,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,lo_crd,la_crd
2020010623,1,2,1,02,23,23,05 ,01,05,05,03,03,127.11406369,37.28406357
2020010907,1,1,1,01,13,03,05 ,01,05,01,12,12,127.33886626,37.1650654
2020011507,1,1,35,02,23,23,05 ,01,05,02,02,02,127.10363445,37.26576684
2020011721,1,2,1,02,21,21,02 ,01,05,07,01,01,127.170547,37.22467875
2020012718,1,2,1,01,11,01,05 ,02,06,01,12,12,127.16672232,37.24338118
2020020313,1,1,1,01,11,01,05 ,02,06,02,12,12,127.1890646,37.23629382
2020022122,1,2,1,01,12,02,05 ,01,05,01,12,12,127.1037539,37.24296186
2020022605,1,2,1,03,38,38,05 ,01,05,05,##,##,127.22101501,37.25155303
2020031702,1,2,1,01,12,02,05 ,02,06,03,12,12,127.21492752,37.25410752
2020032812,1,1,9,02,23,23,05 ,01,05,01,01,01,127.10387606,37.26054856
2020032818,1,2,1,03,31,32,05 ,01,05,01,##,##,127.21586608,37.27442733
2020032913,1,1,2,02,22,22,03 ,02,06,05,01,01,127.10271579,37.33324193
2020040513,1,1,1,01,11,01,05 ,01,05,01,12,12,127.22912558,37.21921144
2020040702,1,2,1,01,12,02,05 ,01,05,04,12,12,127.32673552,37.18977409
2020041005,1,2,1,02,23,23,05 ,01,05,03,04,04,127.10352516,37.27155344
2020042222,1,2,1,03,31,32,05 ,01,05,01,##,##,127.32850417,37.19487866
2020050303,1,2,1,03,39,39,05 ,01,05,01,##,##,127.11994917,37.27572668
2020053021,1,2,1,03,31,32,05 ,01,05,05,##,##,127.06120312,37.32640697
2020060709,1,1,1,03,31,32,05 ,01,05,07,##,##,127.29306493,37.17911945
2020060709,1,1,1,03,38,38,05 ,01,05,11,##,##,127.37148193,37.17350646
2020060712,1,1,1,03,31,32,05 ,01,05,03,##,##,127.19960366,37.19417124
2020080305,1,2,2,02,22,22,03 ,02,06,01,02,02,127.20984023,37.23098319
2020080713,1,1,1,01,11,01,07 ,02,07,03,12,12,127.10525381,37.25370254
2020080718,1,2,2,01,15,05,05 ,01,05,08,12,12,127.21249258,37.23015136
2020090114,1,1,1,02,22,22,05 ,02,06,01,08,08,127.10494336,37.30233175
2020090705,1,2,3,02,24,25,05 ,01,05,03,01,01,127.104943,37.2415272
2020091122,2,2,9,02,24,25,05 ,01,05,03,03,03,127.10403107,37.24623127
2020091814,1,1,3,02,23,23,05 ,01,05,03,03,03,127.21238477,37.11889867
2020100823,1,2,4,02,23,23,05 ,02,06,01,01,01,127.11596946,37.27754367
2020110221,1,2,1,02,23,23,01 ,01,05,01,05,05,127.18209101,37.3396924
2020110506,1,1,1,01,12,02,05 ,01,05,01,12,12,127.29244767,37.2276503
2020122803,1,2,1,01,11,01,05 ,01,05,03,12,12,127.10853055,37.25461482
2020122816,1,1,2,01,15,05,99 ,02,08,01,12,12,127.06336196,37.32004216
2020123111,1,1,1,02,24,25,03 ,02,06,05,10,10,127.2954645,37.15402819
